,beta,magnetization,m2,energy,heat_capacity
0,0.5,0.3019877101655694,0.11187334588185177,-0.5531723671656843,0.34034026022057456
1,0.55,0.3394811736264703,0.1395008414955105,-0.629135718738949,0.465601912386843
2,0.6,0.38668017888608736,0.1776116669168283,-0.7153023323196751,0.5959363831332649
3,0.65,0.43330941440618426,0.21805658281389537,-0.7917729690921376,0.7965530639230639
4,0.7,0.4931502094019,0.2749259668197313,-0.8902068635967547,1.0090509823409899
5,0.71,0.508211052268318,0.2892227213655327,-0.914253538119424,0.9695715118097673
6,0.72,0.5212198560124135,0.3017161056971668,-0.9311799163234205,1.0240230680612799
7,0.73,0.530150346385791,0.310449930182005,-0.9469197593123985,1.061825142222478
8,0.74,0.5377967076124125,0.31843021535404226,-0.9621273991574265,1.1062507893825904
9,0.75,0.5519987574945823,0.3334213461136129,-0.9870770214327916,1.1381981595487782
10,0.76,0.5702589350195585,0.3521451250732621,-1.0123729093328278,1.1027232550623438
11,0.77,0.5799883999608345,0.36325666380908456,-1.0302164630407455,1.1662449086602864
12,0.78,0.586018559262986,0.37018646019852997,-1.0418516295738154,1.19048733078992
13,0.79,0.5991579167598751,0.38465990070377815,-1.0644537970932122,1.1879036938177885
14,0.7999999999999999,0.6121377102603858,0.39962055246760864,-1.0850817046460532,1.2265949932035274
15,0.8,0.6145878598951456,0.4017383319980257,-1.0906240501219298,1.215204573165777
16,0.8099999999999999,0.6237411720796504,0.41230541692315903,-1.1057252084742368,1.212469955676751
17,0.82,0.6332908646654491,0.42337323750926553,-1.1219050146663712,1.2309893669143637
18,0.83,0.6445572955207758,0.4361587118909516,-1.1425635753996057,1.174827903200377
19,0.84,0.6530514885450668,0.44621570545818895,-1.1565128248435375,1.1992851616074631
20,0.85,0.6644657695913063,0.4604368428899852,-1.1766191102673718,1.218068488898159
21,0.8500000000000001,0.6626952807878586,0.458264502045561,-1.1725589499729545,1.2454198664405067
22,0.86,0.6737167022536735,0.471213588264419,-1.1939251615762352,1.1804655874820247
23,0.87,0.6800995053516377,0.47949266521966455,-1.2034378093805078,1.2199644486465653
24,0.88,0.6898330835714136,0.4908987351659735,-1.2231725895645402,1.1594019258600807
25,0.89,0.7000031773733377,0.5051272760571544,-1.2444227313401417,1.1906319860381787
26,0.9,0.7029633724543828,0.5088068128418559,-1.2530337744722522,1.1688519896182055
27,0.91,0.713059509894721,0.5212378234756998,-1.2673673578190554,1.1390430305473682
28,0.9199999999999999,0.7165096735300222,0.5264248216971439,-1.2789654793553362,1.1233678311262636
29,0.9299999999999999,0.7249700566199401,0.5378143822359275,-1.292101594152677,1.1344609388771412
30,0.94,0.7320526324911322,0.5472273527420143,-1.3099043064231362,1.1370129127261839
31,0.95,0.7358425333275944,0.5529519783554124,-1.3166797404271264,1.1452203335306586
32,0.96,0.7473119135434069,0.5683277438727325,-1.337139629212465,1.0653466835454
33,0.97,0.7504200082892863,0.5718122188266568,-1.3428962741319326,1.0189449927867678
34,0.98,0.7534752679486342,0.5763442802965877,-1.3531457084570402,1.005674818865491
35,0.99,0.7581748700181251,0.5828230376861466,-1.360266221974419,0.9889374650673057
36,1.0,0.7639387126547613,0.591445861120502,-1.3740650938405694,1.0143986479078522
37,1.05,0.7842652224153339,0.6210753146404375,-1.419633349253866,0.9585236535451954
38,1.1,0.8004134225018336,0.6453852022069682,-1.4591908239345006,0.8704448773096535
39,1.15,0.8137836576081567,0.6661077901442033,-1.4877326387835221,0.8187351467240167
40,1.2000000000000002,0.8272917012389773,0.6874214853552567,-1.521651659666836,0.7285345394812457
41,1.25,0.8357821648869503,0.7014312954802828,-1.5450630183429472,0.760036977680809
42,1.3,0.8441305624542884,0.7150052546457362,-1.5652356639018157,0.7186649057000131
43,1.35,0.8526723224472587,0.7292211131739983,-1.5899437315532,0.7088266139819764
44,1.4,0.8603281268274547,0.7420787395831787,-1.6063680902828397,0.6774090488168368
45,1.4500000000000002,0.86452433741918,0.7492017625630809,-1.6197763868135968,0.6887129724473005
46,1.5,0.8706653749195143,0.7596460496270866,-1.6363997932635923,0.6384820046893027
